Sort Method,Limit,Start,Stop,Duration,FormattedDuration
Bubble Sort,100,10/18/2021 2:37:39.55,10/18/2021 2:37:39.63,0:0:0.8,0.8
Selection Sort,100,10/18/2021 2:37:39.65,10/18/2021 2:37:39.74,0:0:0.9,0.9
Cycle Sort,100,10/18/2021 2:37:39.77,10/18/2021 2:37:39.84,0:0:0.7,0.7
Heap Sort,100,10/18/2021 2:37:39.89,10/18/2021 2:37:39.98,0:0:0.9,0.9
Insertion Sort,100,10/18/2021 2:37:39.101,10/18/2021 2:37:39.112,0:0:0.11,0.11
Quick Sort,100,10/18/2021 2:37:39.115,10/18/2021 2:37:39.129,0:0:0.14,0.14
Bubble Sort,1000,10/18/2021 2:37:39.136,10/18/2021 2:37:39.297,0:0:0.161,0.161
Selection Sort,1000,10/18/2021 2:37:39.301,10/18/2021 2:37:39.408,0:0:0.107,0.107
Cycle Sort,1000,10/18/2021 2:37:39.412,10/18/2021 2:37:39.520,0:0:0.108,0.108
Heap Sort,1000,10/18/2021 2:37:39.523,10/18/2021 2:37:39.633,0:0:0.110,0.110
Insertion Sort,1000,10/18/2021 2:37:39.637,10/18/2021 2:37:39.742,0:0:0.105,0.105
Quick Sort,1000,10/18/2021 2:37:39.745,10/18/2021 2:37:39.894,0:0:0.149,0.149
Bubble Sort,10000,10/18/2021 2:37:39.912,10/18/2021 2:37:41.639,0:0:1.727,1.727
Selection Sort,10000,10/18/2021 2:37:41.644,10/18/2021 2:37:43.117,0:0:1.473,1.473
Cycle Sort,10000,10/18/2021 2:37:43.121,10/18/2021 2:37:44.534,0:0:1.413,1.413
Heap Sort,10000,10/18/2021 2:37:44.537,10/18/2021 2:37:45.824,0:0:1.287,1.287
Insertion Sort,10000,10/18/2021 2:37:45.829,10/18/2021 2:37:47.109,0:0:1.280,1.280
Quick Sort,10000,10/18/2021 2:37:47.113,10/18/2021 2:37:48.391,0:0:1.278,1.278
Bubble Sort,100000,10/18/2021 2:37:48.534,10/18/2021 2:38:42.76,0:0:53.542,53.542
Selection Sort,100000,10/18/2021 2:38:42.79,10/18/2021 2:39:5.750,0:0:23.671,23.671
Cycle Sort,100000,10/18/2021 2:39:5.753,10/18/2021 2:39:29.182,0:0:23.429,23.429
Heap Sort,100000,10/18/2021 2:39:29.185,10/18/2021 2:39:41.460,0:0:12.275,12.275
Insertion Sort,100000,10/18/2021 2:39:41.463,10/18/2021 2:39:53.964,0:0:12.501,12.501
Quick Sort,100000,10/18/2021 2:39:53.967,10/18/2021 2:40:6.268,0:0:12.301,12.301
